adm1_id,adm1,adm1_type,adm1_center,adm1_geonameid,adm1_alternate,adm1_link,adm0
01,Архангельская,губерния,Архангельск,,,https://ru.wikipedia.org/wiki/Архангельская_губерния,Европейская Россия
02,Астраханская,губерния,Астрахань,,,https://ru.wikipedia.org/wiki/Астраханская_губерния,Европейская Россия
03,Бессарабская,губерния,Кишинёв ,618426,,https://ru.wikipedia.org/wiki/Бессарабская_губерния,Европейская Россия
04,Виленская,губерния,Вильна,,,https://ru.wikipedia.org/wiki/Виленская_губерния,Европейская Россия
05,Витебская,губерния,Витебск,,,https://ru.wikipedia.org/wiki/Витебская_губерния,Европейская Россия
06,Владимирская,губерния,Владимир,,,https://ru.wikipedia.org/wiki/Владимирская_губерния,Европейская Россия
07,Вологодская,губерния,Вологда,472459,,https://ru.wikipedia.org/wiki/Вологодская_губерния,Европейская Россия
08,Волынская,губерния,Житомир ,686967,,https://ru.wikipedia.org/wiki/Волынская_губерния,Европейская Россия
09,Воронежская,губерния,Воронеж,,,https://ru.wikipedia.org/wiki/Воронежская_губерния,Европейская Россия
10,Вятская,губерния,Вятка,,,https://ru.wikipedia.org/wiki/Вятская_губерния,Европейская Россия
11,Гродненская,губерния,Гродно,,,https://ru.wikipedia.org/wiki/Гродненская_губерния,Европейская Россия
12,Область Войска Донского,область,Новочеркасск,,,https://ru.wikipedia.org/wiki/Область_Войска_Донского,Европейская Россия
13,Екатеринославская,губерния,Екатеринослав,709930,,https://ru.wikipedia.org/wiki/Екатеринославская_губерния,Европейская Россия
14,Казанская,губерния,Казань,,,https://ru.wikipedia.org/wiki/Казанская_губерния,Европейская Россия
15,Калужская,губерния,Калуга,,,https://ru.wikipedia.org/wiki/Калужская_губерния,Европейская Россия
16,Киевская,губерния,Киев ,,,https://ru.wikipedia.org/wiki/Киевская_губерния,Европейская Россия
18,Костромская,губерния,Кострома,,,https://ru.wikipedia.org/wiki/Костромская_губерния,Европейская Россия
19,Курляндская,губерния,Митава,,,https://ru.wikipedia.org/wiki/Курляндская_губерния,Европейская Россия
20,Курская,губерния,Курск ,,,https://ru.wikipedia.org/wiki/Курская_губерния,Европейская Россия
21,Лифляндская,губерния,Рига,,,https://ru.wikipedia.org/wiki/Лифляндская_губерния,Европейская Россия
22,Минская,губерния,Минск ,,,https://ru.wikipedia.org/wiki/Минская_губерния,Европейская Россия
23,Могилёвская,губерния,Могилёв ,,,https://ru.wikipedia.org/wiki/Могилёвская_губерния,Европейская Россия
24,Московская,губерния,Москва ,,,https://ru.wikipedia.org/wiki/Московская_губерния,Европейская Россия
25,Нижегородская,губерния,Нижний Новгород ,520555,,https://ru.wikipedia.org/wiki/Нижегородская_губерния,Европейская Россия
26,Новгородская,губерния,Новгород ,,,https://ru.wikipedia.org/wiki/Новгородская_губерния,Европейская Россия
27,Олонецкая,губерния,Петрозаводск ,509820,,https://ru.wikipedia.org/wiki/Олонецкая_губерния,Европейская Россия
28,Оренбургская,губерния,Оренбург ,,,https://ru.wikipedia.org/wiki/Оренбургская_губерния,Европейская Россия
29,Орловская,губерния,Орёл ,,,https://ru.wikipedia.org/wiki/Орловская_губерния,Европейская Россия
30,Пензенская,губерния,Пенза ,,,https://ru.wikipedia.org/wiki/Пензенская_губерния,Европейская Россия
