adm2_id,adm1,adm2,adm2_type,adm2_center,adm2_geonameid,adm2_alternate,adm2_area,pop_1897_tot,pop_1897_tot_j,pop_1897_tot_o,pop_1897_tot_rc,pop_1897_tot_l,info,,
0101,Архангельская,Архангельский,уезд,Архангельск,NA,,26775.7,60957,250,58807,474,387,,,
0101,Архангельская,Кемский,уезд,Кемь,NA,,35675,35392,0,32983,12,130,,,
0101,Архангельская,Кольский,уезд,Кола ,NA,,13210,9291,0,7936,1,1245,In 1899 the center of adm2 was moved from Kola to Aleksandrovsk,,
0101,Архангельская,Мезенский,уезд,Мезень,NA,,94110,25029,0,24968,6,8,,,
0101,Архангельская,Онежский,уезд,Онега,NA,,25116.2,39337,0,39146,48,21,,,
0101,Архангельская,Печорский,уезд,Усть-Цильма,477940,,352771.8,34992,0,34065,11,3,,,
0101,Архангельская,Пинежский,уезд,Пинега,NA,,41815.9,28788,1,27626,18,5,,,
0101,Архангельская,Холмогорский,уезд,Холмогоры,NA,,14505.5,35991,0,35847,29,5,,,
0101,Архангельская,Шенкурский,уезд,Шенкурск,494884,,21779.1,76759,0,75910,22,3,,,
0201,Астраханская,Астраханский,уезд,Астрахань,NA,,6499,219760,2215,160727,1297,1650,,,
0201,Астраханская,Внутренняя Киргизская,орда,Ханская Ставка,NA,,70781,214796,0,1667,6,11,,,
0201,Астраханская,Енотаевский,уезд,Енотаевск,NA,,4852,76080,13,66188,40,8,,,
0201,Астраханская,Калмыцкая,степь,,NA,,67246,128573,8,5544,5,13,,,
0201,Астраханская,Красноярский,уезд,Красный Яр,NA,,9463,65995,10,28060,25,24,,,
0201,Астраханская,Царевский,уезд,Царёв,481090,,18964,198022,102,175975,97,2859,,,
0201,Астраханская,Черноярский,уезд,Чёрный Яр,NA,,11858,100316,375,90933,64,86,,,
0301,Бессарабская,Аккерманский,уезд,Аккерман ,NA,,7282.7,265247,12332,207985,2688,40104,,,
0301,Бессарабская,Бендерский,уезд,Бендеры ,NA,Ясский,5398.4,194915,16625,168283,2612,4431,"until March 6, 1887 — Yasskyi uyezd",,
0301,Бессарабская,Белецкий,уезд,Бельцы ,NA,,4871,211448,27304,179197,2597,1536,,,
0301,Бессарабская,Измаильский,уезд,Измаил ,707308,,8128,244274,11753,211638,745,4642,,,
0301,Бессарабская,Кишинёвский,уезд,Кишинёв ,618426,,3271.9,279657,54910,214891,4370,1976,,,
0301,Бессарабская,Оргеевский,уезд,Оргеев ,617638,,3632,213478,26699,184827,735,162,,,
0301,Бессарабская,Сорокский,уезд,Сороки ,NA,,4010.7,218861,31017,181540,2826,334,,,
0301,Бессарабская,Хотинский,уезд,Хотин ,706244,,3501.9,307532,47888,252638,3252,349,,,
0401,Виленская,Вилейский,уезд,Вилейка,NA,,5591.2,208013,19826,121491,65588,88,,,
0401,Виленская,Виленский,уезд,Вильна,NA,,5434.8,363313,79360,36462,237375,2561,,,
0401,Виленская,Дисненский,уезд,Дисна,629055,,5078.2,204923,20730,107953,66294,190,,,
0401,Виленская,Лидский,уезд,Лида,NA,,4926.1,205767,24813,51729,128456,96,,,
0401,Виленская,Ошмянский,уезд,Ошмяны,630515,,6050.1,233559,28244,71329,132505,91,,,
0401,Виленская,Свенцянский,уезд,Свенцяны,NA,"Завилейский, Švenčionių apskritis",4593.8,172231,12299,17002,134340,131,,,
0401,Виленская,Трокский,уезд,Троки,8251971,,5151.1,203401,19401,9242,170473,441,,,
0501,Витебская,Велижский,уезд,Велиж,475955,Веліжскі,3900,100079,9801,86680,1629,1608,,,
0501,Витебская,Витебский,уезд,Витебск,NA,Віцебскі,2861.1,177432,21492,107861,9872,3267,,,
0501,Витебская,Городокский,уезд,Городок,NA,Гарадоцкі,3107.1,111943,5245,104881,638,527,,,
0501,Витебская,Двинский,уезд,Двинск,NA,"Динабургский, Daugavpils apriņķis",3860.4,237023,47798,22547,117254,22347,,,
0501,Витебская,Дриссенский,уезд,Дрисса,NA,Дрысенскі,2568.9,97083,7021,60586,26709,521,,,
0501,Витебская,Лепельский,уезд,Лепель,NA,Бочейковский ,3401.6,156706,18110,123238,13680,778,,,
0501,Витебская,Люцинский,уезд,Люцин,NA,,4600.1,128155,6255,25157,81283,12214,,,
0501,Витебская,Невельский,уезд,Невель,NA,Невельскі ,3397.7,110394,8210,95582,829,423,,,
0501,Витебская,Полоцкий,уезд,Полоцк,NA,,4186.7,141841,17178,563718,14835,1611,,,
0501,Витебская,Режицкий,уезд,Режица,NA,,3581.9,136445,10152,4634,87332,2619,,,
0501,Витебская,Себежский,уезд,Себеж,NA,Себежскі,3184,92055,3502,83161,2878,224,,,
0601,Владимирская,Александровский,уезд,Александров,NA,,2886.8,100371,93,99356,128,82,,,
0601,Владимирская,Владимирский,уезд,Владимир,NA,,2402.5,160996,416,156331,912,180,,,
0601,Владимирская,Вязниковский,уезд,Вязники,NA,,3309.6,86352,26,84861,21,30,,,
0601,Владимирская,Гороховецкий,уезд,Гороховец,NA,,3817.7,92240,3,81526,9,9,,,
0601,Владимирская,Ковровский,уезд,Ковров,543460,,3427.5,109861,55,108946,57,43,,,
0601,Владимирская,Меленковский,уезд,Меленки,NA,,4617.8,142304,7,136193,32,16,,,
0601,Владимирская,Муромский,уезд,Муром,NA,,2229.8,122383,75,119453,50,61,,,
0601,Владимирская,Переславский,уезд,Переславль-Залесский,511359,,3178.7,87337,50,87196,32,17,,,
0601,Владимирская,Покровский,уезд,Покров,NA,,4142.2,158229,191,149600,76,30,,,
0601,Владимирская,Судогодский,уезд,Судогда,NA,,5099.9,96798,10,94306,22,34,,,
0601,Владимирская,Суздальский,уезд,Суздаль,NA,,2513.1,107708,7,107565,10,6,,,
0601,Владимирская,Шуйский,уезд,Шуя,NA,,2563.2,158483,246,155711,139,159,,,
0601,Владимирская,Юрьевский,уезд,Юрьев-Польский,466215,,2641,92629,26,92477,7,103,,,
0701,Вологодская,Вельский,уезд,Вельск,475938,,21251.5,102484,1,102443,31,2,,,
0701,Вологодская,Вологодский,уезд,Вологда,472459,,5506.1,172187,261,170871,193,177,,,
0701,Вологодская,Грязовецкий,уезд,Грязовец,558236,,6901.1,105438,5,104403,14,26,,,
0701,Вологодская,Кадниковский,уезд,Кадников,554554,,15249.5,188797,6,188439,22,25,,,
0701,Вологодская,Никольский,уезд,Никольск,NA,,32401.3,228383,48,228091,20,9,,,
0701,Вологодская,Сольвычегодский,уезд,Сольвычегодск,490743,,37276,117635,4,114728,32,3,,,
0701,Вологодская,Тотемский,уезд,Тотьма,481960,,20508,146819,1,145899,34,9,,,
0701,Вологодская,Усть-Сысольский,уезд,Усть-Сысольск,485239,,148775,89840,3,87732,23,1,,,
0701,Вологодская,Устюжский,уезд,Великий Устюг,476062,,14912,144370,74,144124,69,62,,,
0701,Вологодская,Яренский,уезд,Яренск,468983,,51000,45832,0,45547,5,0,,,
0801,Волынская,Владимир-Волынский,уезд,Владимир-Волынск ,NA,Владимирский,5695.8,277265,28934,199560,31679,16703,,,
0801,Волынская,Дубенский,уезд,Дубно ,NA,,3483,195058,22448,148103,16983,6769,,,
0801,Волынская,Житомирский,уезд,Житомир ,686967,,6740,433859,62200,265649,53062,41522,,,
0801,Волынская,Заславский,уезд,Заславль ,619066,Изяславский; Изяславльский,3055,208742,27762,157035,22176,1617,From 1910 — Izyaslavsky,,
0801,Волынская,Ковельский,уезд,Ковель ,704617,,6728,211493,25241,173171,9997,2755,,,
0801,Волынская,Кременецкий,уезд,Кременец ,NA,,3041,219934,26963,176432,15569,207,,,
0801,Волынская,Луцкий,уезд,Луцк ,702569,,6626,252550,35742,157910,26767,30656,,,
0801,Волынская,Новоград-Волынский,уезд,Новоград-Волынск ,NA,,6331,348950,54555,211682,42393,36217,,,
